idx,prompt,gold,generated_response,bleurt_score,hallucination_label,small_llm,large_llm
5034,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. 
 Q: What happened to him? A:",['suicide'],he died.,0.09335128962993622,1,0,
5035,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. 
 Q: What made him do that? A:",['depression'],depression.,0.7278649806976318,0,0,
5036,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. 
 Q: Did that effect him all the time? A:",['no'],yes.,0.0874842032790184,1,1,
5037,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. 
 Q: What hid his struggle from other? A:",['his humor'],his humor.,0.9078471660614014,0,0,
5038,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. 
 Q: What did it look like he had? A:",['Heseemed to have it all.'],a good life.,0.16019460558891296,1,0,
5039,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. 
 Q: Does suicide occur most often in males or females? A:",['males'],males.,0.6359637379646301,0,0,
5040,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. Q: Does suicide occur most often in males or females? A: males. 
 Q: What percentage were they responsible for in 2011? A:",['78.5'],78.5%,0.21639394760131836,1,0,
5041,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. Q: Does suicide occur most often in males or females? A: males. Q: What percentage were they responsible for in 2011? A: 78.5. 
 Q: How many is that for every 100,000? A:",['20.2'],20.2.,0.7967777252197266,0,0,
5042,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. Q: Does suicide occur most often in males or females? A: males. Q: What percentage were they responsible for in 2011? A: 78.5. Q: How many is that for every 100,000? A: 20.2. 
 Q: What happened with suicide between 2000 and 2011? A:",['the rate increased'],it increased.,0.4731987714767456,1,0,
5043,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. Q: Does suicide occur most often in males or females? A: males. Q: What percentage were they responsible for in 2011? A: 78.5. Q: How many is that for every 100,000? A: 20.2. Q: What happened with suicide between 2000 and 2011? A: the rate increased. 
 Q: What was it in 2000? A:","['10.4 deaths per 100,000']",10.4.,0.23368974030017853,1,0,
5044,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. Q: Does suicide occur most often in males or females? A: males. Q: What percentage were they responsible for in 2011? A: 78.5. Q: How many is that for every 100,000? A: 20.2. Q: What happened with suicide between 2000 and 2011? A: the rate increased. Q: What was it in 2000? A: 10.4 deaths per 100,000. 
 Q: And in 2011? A:","['12.3 deaths per 100,000.']","12.3 deaths per 100,000.",0.9935325384140015,0,0,
5045,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. Q: Does suicide occur most often in males or females? A: males. Q: What percentage were they responsible for in 2011? A: 78.5. Q: How many is that for every 100,000? A: 20.2. Q: What happened with suicide between 2000 and 2011? A: the rate increased. Q: What was it in 2000? A: 10.4 deaths per 100,000. Q: And in 2011? A: 12.3 deaths per 100,000. 
 Q: Was Robin Williams successfu? A:",['yes'],yes.,0.7477519512176514,0,0,
5046,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. Q: Does suicide occur most often in males or females? A: males. Q: What percentage were they responsible for in 2011? A: 78.5. Q: How many is that for every 100,000? A: 20.2. Q: What happened with suicide between 2000 and 2011? A: the rate increased. Q: What was it in 2000? A: 10.4 deaths per 100,000. Q: And in 2011? A: 12.3 deaths per 100,000. Q: Was Robin Williams successfu? A: yes. 
 Q: What does the author say about his spirit? A:",['it was talented and creative'],he was one of the most talented and creative spirits on the planet.,0.4923727512359619,1,0,
5047,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. Q: Does suicide occur most often in males or females? A: males. Q: What percentage were they responsible for in 2011? A: 78.5. Q: How many is that for every 100,000? A: 20.2. Q: What happened with suicide between 2000 and 2011? A: the rate increased. Q: What was it in 2000? A: 10.4 deaths per 100,000. Q: And in 2011? A: 12.3 deaths per 100,000. Q: Was Robin Williams successfu? A: yes. Q: What does the author say about his spirit? A: it was talented and creative. 
 Q: What will someone suffering do to get rid of the pain? A:",['just about anythinh'],anything.,0.15447768568992615,1,0,
5048,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. Q: Does suicide occur most often in males or females? A: males. Q: What percentage were they responsible for in 2011? A: 78.5. Q: How many is that for every 100,000? A: 20.2. Q: What happened with suicide between 2000 and 2011? A: the rate increased. Q: What was it in 2000? A: 10.4 deaths per 100,000. Q: And in 2011? A: 12.3 deaths per 100,000. Q: Was Robin Williams successfu? A: yes. Q: What does the author say about his spirit? A: it was talented and creative. Q: What will someone suffering do to get rid of the pain? A: just about anythinh. 
 Q: What can their brains be? A:",['their worst enemies'],their worst enemies.,0.9028492569923401,0,0,
5049,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. Q: Does suicide occur most often in males or females? A: males. Q: What percentage were they responsible for in 2011? A: 78.5. Q: How many is that for every 100,000? A: 20.2. Q: What happened with suicide between 2000 and 2011? A: the rate increased. Q: What was it in 2000? A: 10.4 deaths per 100,000. Q: And in 2011? A: 12.3 deaths per 100,000. Q: Was Robin Williams successfu? A: yes. Q: What does the author say about his spirit? A: it was talented and creative. Q: What will someone suffering do to get rid of the pain? A: just about anythinh. Q: What can their brains be? A: their worst enemies. 
 Q: How can their thoughts turn? A:",['dark'],dark.,0.5573864579200745,0,0,
5050,"Answer the question concisely based on the context: 
 (CNN) -- Smart, successful, funny and handsome. Robin Williams seemed to have it all. And yet, today he is dead. Apparently, by his own choice. 

But why? What went wrong? 

The joy, spontaneity and humor of Robin Williams likely masked the daily torment he endured in his on-again-off-again struggle with depression. He made us laugh out here, but he was in pain in there. Unfortunately, I know that pain. 

In his death, we have lost one of the most talented and creative spirits on the planet. Still, his death by suicide should be a wake-up call for us all. It is to remind us that many of us are walking a fine line -- smiling on the outside while slowly dying on the inside. 

I didn't know Robin personally, so I am unable to speak with any certainty as to why he chose to end his life. But I have experienced that kind of torment and pain. For years, I, too, struggled with depression. And many days, I still do. 

Complete coverage on Robin Williams 

Those who are suffering will do just about anything not to feel the pain anymore. And in those moments, their brains become their worst enemies. It often takes an outside force to provide light, to make sure those dark thoughts aren't, as in the case of Robin, our last thoughts. 

According to the Centers for Disease Center, suicide rates increased from 2000 to 2011 from 10.4 deaths per 100,000 to 12.3 deaths per 100,000. 

The rate of suicide is higher and rising among men. In 2011, 78.5% of suicides were by men, at a rate of 20.2 deaths per 100,000.  Q: Is Robin Williams still living? A: no. Q: What happened to him? A: suicide. Q: What made him do that? A: depression. Q: Did that effect him all the time? A: no. Q: What hid his struggle from other? A: his humor. Q: What did it look like he had? A: Heseemed to have it all. Q: Does suicide occur most often in males or females? A: males. Q: What percentage were they responsible for in 2011? A: 78.5. Q: How many is that for every 100,000? A: 20.2. Q: What happened with suicide between 2000 and 2011? A: the rate increased. Q: What was it in 2000? A: 10.4 deaths per 100,000. Q: And in 2011? A: 12.3 deaths per 100,000. Q: Was Robin Williams successfu? A: yes. Q: What does the author say about his spirit? A: it was talented and creative. Q: What will someone suffering do to get rid of the pain? A: just about anythinh. Q: What can their brains be? A: their worst enemies. Q: How can their thoughts turn? A: dark. 
 Q: What do they need to help? A:",['an outside force'],light.,0.017270833253860474,1,1,
